Date,Series_Complete_Cumulative,Series_Complete_Daily
03/17/2021,47637696,1145696
03/17/2022,219294552,48990
03/17/2023,230368503,8746
03/18/2021,48855798,1218102
03/18/2022,219357035,62483
03/18/2023,230371710,3207
03/19/2021,50088903,1233105
03/19/2022,219394313,37278
03/19/2023,230373359,1649
03/20/2021,50955635,866732
03/20/2022,219412342,18029
03/20/2023,230381231,7872
03/21/2021,51336336,380701
03/21/2022,219457842,45500
03/21/2023,230389415,8184
03/22/2021,52151397,815061
03/22/2022,219502329,44487
03/22/2023,230397442,8027
03/23/2021,53312733,1161336
03/23/2022,219549440,47111
03/23/2023,230405361,7919
03/24/2021,54747062,1434329
03/24/2022,219593190,43750
03/24/2023,230414190,8829
03/25/2021,56407425,1660363
03/25/2022,219649084,55894
03/25/2023,230417503,3313
03/26/2021,58221293,1813868
03/26/2022,219679700,30616
03/26/2023,230419125,1622
03/27/2021,59391813,1170520
03/27/2022,219694844,15144
03/27/2023,230426528,7403
03/28/2021,59944968,553155
03/28/2022,219733681,38837
03/28/2023,230434403,7875
03/29/2021,61229018,1284050
03/29/2022,219774147,40466
03/29/2023,230442400,7997
03/30/2021,62900117,1671099
03/30/2022,219832419,58272
03/30/2023,230449910,7510
03/31/2021,64852669,1952552
03/31/2022,219898973,66554
03/31/2023,230457960,8050
04/01/2021,67123179,2270510
04/01/2022,219979788,80815
04/01/2023,230460669,2709
04/02/2021,68954015,1830836
04/02/2022,220024279,44491
04/02/2023,230462101,1432
04/03/2021,70118739,1164724
04/03/2022,220050252,25973
04/03/2023,230468663,6562
04/04/2021,70491683,372944
04/04/2022,220112537,62285
04/04/2023,230475347,6684
04/05/2021,72099738,1608055
04/05/2022,220174374,61837
04/05/2023,230482215,6868
04/06/2021,74190247,2090509
04/06/2022,220239170,64796
04/06/2023,230489186,6971
04/07/2021,76507143,2316896
04/07/2022,220302630,63460
04/07/2023,230495947,6761
04/08/2021,79041912,2534769
04/08/2022,220378144,75514
04/08/2023,230498666,2719
04/09/2021,81496071,2454159
04/09/2022,220420610,42466
04/09/2023,230499516,850
04/10/2021,83163225,1667154
04/10/2022,220445290,24680
04/10/2023,230506297,6781
04/11/2021,83968805,805580
04/11/2022,220507373,62083
04/11/2023,230513294,6997
04/12/2021,85698935,1730130
04/12/2022,220571063,63690
04/12/2023,230520042,6748
04/13/2021,87421998,1723063
04/13/2022,220633468,62405
04/13/2023,230526413,6371
04/14/2021,89353466,1931468
04/14/2022,220696026,62558
04/14/2023,230533498,7085
04/15/2021,91307354,1953888
04/15/2022,220760751,64725
04/15/2023,230536089,2591
04/16/2021,93232139,1924785
04/16/2022,220793902,33151
04/16/2023,230537246,1157
04/17/2021,94417981,1185842
04/17/2022,220802371,8469
04/17/2023,230543313,6067
04/18/2021,95002531,584550
04/18/2022,220859648,57277
04/18/2023,230549088,5775
04/19/2021,96470704,1468173
04/19/2022,220917194,57546
04/19/2023,230553737,4649
04/20/2021,98309408,1838704
04/20/2022,220975066,57872
04/20/2023,230558858,5121
04/21/2021,100367926,2058518
04/21/2022,221030802,55736
04/21/2023,230564775,5917
04/22/2021,102425820,2057894
04/22/2022,221087427,56625
04/22/2023,230567289,2514
04/23/2021,104335708,1909888
04/23/2022,221120740,33313
04/23/2023,230568579,1290
04/24/2021,105531936,1196228
04/24/2022,221138859,18119
04/24/2023,230574357,5778
04/25/2021,106030337,498401
04/25/2022,221187865,49006
04/25/2023,230579974,5617
04/26/2021,107469048,1438711
04/26/2022,221237724,49859
04/26/2023,230585784,5810
04/27/2021,109263630,1794582
04/27/2022,221289711,51987
04/27/2023,230591673,5889
04/28/2021,111234752,1971122
04/28/2022,221343004,53293
04/28/2023,230597952,6279
04/29/2021,113220949,1986197
04/29/2022,221402193,59189
04/29/2023,230600329,2377
04/30/2021,115074274,1853325
04/30/2022,221433810,31617
04/30/2023,230601588,1259
05/01/2021,116251632,1177358
05/01/2022,221451411,17601
05/01/2023,230606981,5393
05/02/2021,116839223,587591
05/02/2022,221496285,44874
05/02/2023,230612536,5555
05/03/2021,118243372,1404149
05/03/2022,221543453,47168
05/03/2023,230618038,5502
05/04/2021,120005585,1762213
05/04/2022,221590575,47122
05/04/2023,230623850,5812
05/05/2021,121821713,1816128
05/05/2022,221638082,47507
05/05/2023,230629861,6011
05/06/2021,123648270,1826557
05/06/2022,221692032,53950
05/06/2023,230632064,2203
05/07/2021,125444391,1796121
05/07/2022,221719639,27607
05/07/2023,230633139,1075
05/08/2021,126539674,1095283
05/08/2022,221731449,11810
05/08/2023,230636397,3258
05/09/2021,126979633,439959
05/09/2022,221776205,44756
05/09/2023,230637348,951
05/10/2021,128159666,1180033
05/10/2022,221822641,46436
05/11/2021,129618664,1458998
05/11/2022,221869849,47208
05/12/2021,131065693,1447029
05/12/2022,221917729,47880
05/13/2021,132482306,1416613
05/13/2022,221970107,52378
05/14/2021,133928070,1445764
05/14/2022,221999955,29848
05/15/2021,134926393,998323
05/15/2022,222017005,17050
05/16/2021,135415319,488926
05/16/2022,222060742,43737
05/17/2021,136432625,1017306
05/17/2022,222105728,44986
05/18/2021,137604156,1171531
05/18/2022,222152686,46958
05/19/2021,138790490,1186334
05/19/2022,222200634,47948
05/20/2021,139975587,1185097
05/20/2022,222255329,54695
05/21/2021,141191057,1215470
05/21/2022,222286660,31331
05/22/2021,141967984,776927
05/22/2022,222305332,18672
05/23/2021,142316361,348377
05/23/2022,222352583,47251
05/24/2021,143073807,757446
05/24/2022,222397784,45201
05/25/2021,143919341,845534
05/25/2022,222443369,45585
05/26/2021,144764763,845422
05/26/2022,222486688,43319
05/27/2021,145570383,805620
05/27/2022,222536148,49460
05/28/2021,146363892,793509
05/28/2022,222559888,23740
05/29/2021,146787772,423880
05/29/2022,222573516,13628
05/30/2021,146993999,206227
05/30/2022,222577733,4217
05/31/2021,147117126,123127
05/31/2022,222623670,45937
06/01/2021,147911971,794845
06/01/2022,222665361,41691
06/02/2021,148600173,688202
06/02/2022,222704973,39612
06/03/2021,149447706,847533
06/03/2022,222749716,44743
06/04/2021,150419130,971424
06/04/2022,222772606,22890
06/05/2021,151178104,758974
06/05/2022,222785994,13388
06/06/2021,151544876,366772
06/06/2022,222823817,37823
06/07/2021,152293833,748957
06/07/2022,222860040,36223
06/08/2021,153119134,825301
06/08/2022,222897247,37207
06/09/2021,153947620,828486
06/09/2022,222932472,35225
06/10/2021,154769267,821647
06/10/2022,222973124,40652
06/11/2021,155631661,862394
06/11/2022,222994210,21086
06/12/2021,156279042,647381
06/12/2022,223006519,12309
06/13/2021,156577925,298883
06/13/2022,223040200,33681
06/14/2021,157203653,625728
06/14/2022,223073618,33418
06/15/2021,157870547,666894
06/15/2022,223108200,34582
06/16/2021,158507464,636917
06/16/2022,223141823,33623
06/17/2021,159103536,596072
06/17/2022,223178278,36455
06/18/2021,159706319,602783
06/18/2022,223196205,17927
06/19/2021,160077969,371650
06/19/2022,223205380,9175
06/20/2021,160255045,177076
06/20/2022,223231632,26252
06/21/2021,160551577,296532
06/21/2022,223263825,32193
06/22/2021,161024262,472685
06/22/2022,223297476,33651
06/23/2021,161470302,446040
06/23/2022,223329085,31609
06/24/2021,161891776,421474
06/24/2022,223364011,34926
06/25/2021,162348742,456966
